Year,Admission Year,ICD10 Code,ICD10 Diagnosis,Diagnosis Type,Metric,Sex,Value
2013/14,2013,C15,Oesophagus,Cancers which can be caused by smoking,Number of admissions,,29447
2013/14,2013,C32,Larynx,Cancers which can be caused by smoking,Number of admissions,,4335
2013/14,2013,C53,Cervical,Cancers which can be caused by smoking,Number of admissions,,7000
2013/14,2013,C67,Bladder,Cancers which can be caused by smoking,Number of admissions,,73077
2013/14,2013,C64-C66 & C68,Kidney and Renal Pelvis,Cancers which can be caused by smoking,Number of admissions,,14385
2013/14,2013,C16,Stomach,Cancers which can be caused by smoking,Number of admissions,,19288
2013/14,2013,C25,Pancreas,Cancers which can be caused by smoking,Number of admissions,,24885
2013/14,2013,C80,Unspecified Site,Cancers which can be caused by smoking,Number of admissions,,8237
2013/14,2013,C92,Myeloid Leukaemia,Cancers which can be caused by smoking,Number of admissions,,40689
2013/14,2013,J40-J43,Chronic Obstructive Lung Disease,Respiratory diseases which can be caused by smoking,Number of admissions,,5309
2013/14,2013,J44,Chronic Airway Obstruction,Respiratory diseases which can be caused by smoking,Number of admissions,,112703
2013/14,2013,J10-J18,"Pneumonia, Influenza",Respiratory diseases which can be caused by smoking,Number of admissions,,172271
2013/14,2013,I00-I09 & I26-I51,Other Heart Disease,Circulatory diseases which can be caused by smoking,Number of admissions,,281338
2013/14,2013,I20-I25,Ischaemic Heart Disease,Circulatory diseases which can be caused by smoking,Number of admissions,,270282
2013/14,2013,I72-I78,Other arterial disease,Circulatory diseases which can be caused by smoking,Number of admissions,,41039
2013/14,2013,I60-I69,Cerebrovascular Disease,Circulatory diseases which can be caused by smoking,Number of admissions,,105548
2013/14,2013,I71,Aortic Aneurysm,Circulatory diseases which can be caused by smoking,Number of admissions,,12212
2013/14,2013,I70,Atherosclerosis,Circulatory diseases which can be caused by smoking,Number of admissions,,13038
2013/14,2013,K25-K27,Stomach / Duodenal Ulcer,Digestive diseases which can be caused caused by smoking,Number of admissions,,22103
2013/14,2013,K50,Crohns Disease,Digestive diseases which can be caused caused by smoking,Number of admissions,,36895
2013/14,2013,K05,Periodontal Disease / Periodonitis,Digestive diseases which can be caused caused by smoking,Number of admissions,,6281
2013/14,2013,H25,Age Related Cataract 45+,Other diseases which can be caused by smoking,Number of admissions,,145191
2013/14,2013,S72.0-S72.2,Hip Fracture 55+,Other diseases which can be caused by smoking,Number of admissions,,68487
2013/14,2013,O03,Spontaneous Abortion,Other diseases which can be caused by smoking,Number of admissions,,11289
2013/14,2013,All codes,All admissions,All admissions,Number of admissions,Male,4976079
2013/14,2013,C33-C34 & C00-C14 & C15 & C32 & C53 & C67 & C64-C66 & C68 & C16 & C25 & C80 & C92 & J40-J43 & J44 & J10-J18 & I00-I09 & I26-I51 & I20-I25 & I72-I78 & I60-I69 & I71 & I70 & K25-K27 & K50 & K05 & H25 & S72.0-S72.2 & O03,All diseases which can be caused by smoking,All diseases which can be caused by smoking,Number of admissions,Male,895456
2013/14,2013,C00-D48,All cancers,All cancers,Number of admissions,Male,801355
2013/14,2013,J00-J99,All respiratory diseases,All respiratory diseases,Number of admissions,Male,269054
2013/14,2013,I00-I99,All circulatory diseases,All circulatory diseases,Number of admissions,Male,516221
2013/14,2013,K00-K93,All diseases of the digestive system,All diseases of the digestive system,Number of admissions,Male,690775
2013/14,2013,C33-C34,"Trachea, Lung, Bronchus",Cancers which can be caused by smoking,Number of admissions,Male,47072
2013/14,2013,C00-C14,Upper Respiratory Sites,Cancers which can be caused by smoking,Number of admissions,Male,15462
2013/14,2013,C15,Oesophagus,Cancers which can be caused by smoking,Number of admissions,Male,21328
2013/14,2013,C32,Larynx,Cancers which can be caused by smoking,Number of admissions,Male,3670
2013/14,2013,C53,Cervical,Cancers which can be caused by smoking,Number of admissions,Male,.
2013/14,2013,C67,Bladder,Cancers which can be caused by smoking,Number of admissions,Male,55902
2013/14,2013,C64-C66 & C68,Kidney and Renal Pelvis,Cancers which can be caused by smoking,Number of admissions,Male,9600
2013/14,2013,C16,Stomach,Cancers which can be caused by smoking,Number of admissions,Male,13738
2013/14,2013,C25,Pancreas,Cancers which can be caused by smoking,Number of admissions,Male,13193
2013/14,2013,C80,Unspecified Site,Cancers which can be caused by smoking,Number of admissions,Male,3565
2013/14,2013,C92,Myeloid Leukaemia,Cancers which can be caused by smoking,Number of admissions,Male,24669
2013/14,2013,J40-J43,Chronic Obstructive Lung Disease,Respiratory diseases which can be caused by smoking,Number of admissions,Male,2870
2013/14,2013,J44,Chronic Airway Obstruction,Respiratory diseases which can be caused by smoking,Number of admissions,Male,54833
2013/14,2013,J10-J18,"Pneumonia, Influenza",Respiratory diseases which can be caused by smoking,Number of admissions,Male,88485
2013/14,2013,I00-I09 & I26-I51,Other Heart Disease,Circulatory diseases which can be caused by smoking,Number of admissions,Male,154479
2013/14,2013,I20-I25,Ischaemic Heart Disease,Circulatory diseases which can be caused by smoking,Number of admissions,Male,182281
2013/14,2013,I72-I78,Other arterial disease,Circulatory diseases which can be caused by smoking,Number of admissions,Male,24030
2013/14,2013,I60-I69,Cerebrovascular Disease,Circulatory diseases which can be caused by smoking,Number of admissions,Male,52788
2013/14,2013,I71,Aortic Aneurysm,Circulatory diseases which can be caused by smoking,Number of admissions,Male,9471
2013/14,2013,I70,Atherosclerosis,Circulatory diseases which can be caused by smoking,Number of admissions,Male,8599
2013/14,2013,K25-K27,Stomach / Duodenal Ulcer,Digestive diseases which can be caused caused by smoking,Number of admissions,Male,11248
2013/14,2013,K50,Crohns Disease,Digestive diseases which can be caused caused by smoking,Number of admissions,Male,16194
2013/14,2013,K05,Periodontal Disease / Periodonitis,Digestive diseases which can be caused caused by smoking,Number of admissions,Male,2446
2013/14,2013,H25,Age Related Cataract 45+,Other diseases which can be caused by smoking,Number of admissions,Male,60551
2013/14,2013,S72.0-S72.2,Hip Fracture 55+,Other diseases which can be caused by smoking,Number of admissions,Male,18982
2013/14,2013,O03,Spontaneous Abortion,Other diseases which can be caused by smoking,Number of admissions,Male,.
2013/14,2013,All codes,All admissions,All admissions,Number of admissions,Female,5626660
2013/14,2013,C33-C34 & C00-C14 & C15 & C32 & C53 & C67 & C64-C66 & C68 & C16 & C25 & C80 & C92 & J40-J43 & J44 & J10-J18 & I00-I09 & I26-I51 & I20-I25 & I72-I78 & I60-I69 & I71 & I70 & K25-K27 & K50 & K05 & H25 & S72.0-S72.2 & O03,All diseases which can be caused by smoking,All diseases which can be caused by smoking,Number of admissions,Female,738810
2013/14,2013,C00-D48,All cancers,All cancers,Number of admissions,Female,830282
2013/14,2013,J00-J99,All respiratory diseases,All respiratory diseases,Number of admissions,Female,269940
2013/14,2013,I00-I99,All circulatory diseases,All circulatory diseases,Number of admissions,Female,376491
2013/14,2013,K00-K93,All diseases of the digestive system,All diseases of the digestive system,Number of admissions,Female,699329
2013/14,2013,C33-C34,"Trachea, Lung, Bronchus",Cancers which can be caused by smoking,Number of admissions,Female,40561
2013/14,2013,C00-C14,Upper Respiratory Sites,Cancers which can be caused by smoking,Number of admissions,Female,5842
2013/14,2013,C15,Oesophagus,Cancers which can be caused by smoking,Number of admissions,Female,8119
2013/14,2013,C32,Larynx,Cancers which can be caused by smoking,Number of admissions,Female,665
2013/14,2013,C53,Cervical,Cancers which can be caused by smoking,Number of admissions,Female,7000
2013/14,2013,C67,Bladder,Cancers which can be caused by smoking,Number of admissions,Female,17175
2013/14,2013,C64-C66 & C68,Kidney and Renal Pelvis,Cancers which can be caused by smoking,Number of admissions,Female,4785
2013/14,2013,C16,Stomach,Cancers which can be caused by smoking,Number of admissions,Female,5550
2013/14,2013,C25,Pancreas,Cancers which can be caused by smoking,Number of admissions,Female,11692
2013/14,2013,C80,Unspecified Site,Cancers which can be caused by smoking,Number of admissions,Female,4672
2013/14,2013,C92,Myeloid Leukaemia,Cancers which can be caused by smoking,Number of admissions,Female,16020
2013/14,2013,J40-J43,Chronic Obstructive Lung Disease,Respiratory diseases which can be caused by smoking,Number of admissions,Female,2439
2013/14,2013,J44,Chronic Airway Obstruction,Respiratory diseases which can be caused by smoking,Number of admissions,Female,57870
2013/14,2013,J10-J18,"Pneumonia, Influenza",Respiratory diseases which can be caused by smoking,Number of admissions,Female,83786
2013/14,2013,I00-I09 & I26-I51,Other Heart Disease,Circulatory diseases which can be caused by smoking,Number of admissions,Female,126859
2013/14,2013,I20-I25,Ischaemic Heart Disease,Circulatory diseases which can be caused by smoking,Number of admissions,Female,88001
2013/14,2013,I72-I78,Other arterial disease,Circulatory diseases which can be caused by smoking,Number of admissions,Female,17009
2013/14,2013,I60-I69,Cerebrovascular Disease,Circulatory diseases which can be caused by smoking,Number of admissions,Female,52760
2013/14,2013,I71,Aortic Aneurysm,Circulatory diseases which can be caused by smoking,Number of admissions,Female,2741
2013/14,2013,I70,Atherosclerosis,Circulatory diseases which can be caused by smoking,Number of admissions,Female,4439
2013/14,2013,K25-K27,Stomach / Duodenal Ulcer,Digestive diseases which can be caused caused by smoking,Number of admissions,Female,10855
2013/14,2013,K50,Crohns Disease,Digestive diseases which can be caused caused by smoking,Number of admissions,Female,20701
2013/14,2013,K05,Periodontal Disease / Periodonitis,Digestive diseases which can be caused caused by smoking,Number of admissions,Female,3835
2013/14,2013,H25,Age Related Cataract 45+,Other diseases which can be caused by smoking,Number of admissions,Female,84640
2013/14,2013,S72.0-S72.2,Hip Fracture 55+,Other diseases which can be caused by smoking,Number of admissions,Female,49505
2013/14,2013,O03,Spontaneous Abortion,Other diseases which can be caused by smoking,Number of admissions,Female,11289
2012/13,2012,All codes,All admissions,All admissions,Number of admissions,,10281507
2012/13,2012,C33-C34 & C00-C14 & C15 & C32 & C53 & C67 & C64-C66 & C68 & C16 & C25 & C80 & C92 & J40-J43 & J44 & J10-J18 & I00-I09 & I26-I51 & I20-I25 & I72-I78 & I60-I69 & I71 & I70 & K25-K27 & K50 & K05 & H25 & S72.0-S72.2 & O03,All diseases which can be caused by smoking,All diseases which can be caused by smoking,Number of admissions,,1600202
2012/13,2012,C00-D48,All cancers,All cancers,Number of admissions,,1559780
2012/13,2012,J00-J99,All respiratory diseases,All respiratory diseases,Number of admissions,,541404
2012/13,2012,I00-I99,All circulatory diseases,All circulatory diseases,Number of admissions,,881146
2012/13,2012,K00-K93,All diseases of the digestive system,All diseases of the digestive system,Number of admissions,,1339113
2012/13,2012,C33-C34,"Trachea, Lung, Bronchus",Cancers which can be caused by smoking,Number of admissions,,84194
2012/13,2012,C00-C14,Upper Respiratory Sites,Cancers which can be caused by smoking,Number of admissions,,20514
2012/13,2012,C15,Oesophagus,Cancers which can be caused by smoking,Number of admissions,,28997
2012/13,2012,C32,Larynx,Cancers which can be caused by smoking,Number of admissions,,4718
2012/13,2012,C53,Cervical,Cancers which can be caused by smoking,Number of admissions,,6778
2012/13,2012,C67,Bladder,Cancers which can be caused by smoking,Number of admissions,,74607
2012/13,2012,C64-C66 & C68,Kidney and Renal Pelvis,Cancers which can be caused by smoking,Number of admissions,,13708
2012/13,2012,C16,Stomach,Cancers which can be caused by smoking,Number of admissions,,19312
2012/13,2012,C25,Pancreas,Cancers which can be caused by smoking,Number of admissions,,22648
2012/13,2012,C80,Unspecified Site,Cancers which can be caused by smoking,Number of admissions,,7603
2012/13,2012,C92,Myeloid Leukaemia,Cancers which can be caused by smoking,Number of admissions,,40208
2012/13,2012,J40-J43,Chronic Obstructive Lung Disease,Respiratory diseases which can be caused by smoking,Number of admissions,,5633
2012/13,2012,J44,Chronic Airway Obstruction,Respiratory diseases which can be caused by smoking,Number of admissions,,116705
2012/13,2012,J10-J18,"Pneumonia, Influenza",Respiratory diseases which can be caused by smoking,Number of admissions,,168578
2012/13,2012,I00-I09 & I26-I51,Other Heart Disease,Circulatory diseases which can be caused by smoking,Number of admissions,,272127
2012/13,2012,I20-I25,Ischaemic Heart Disease,Circulatory diseases which can be caused by smoking,Number of admissions,,273337
2012/13,2012,I72-I78,Other arterial disease,Circulatory diseases which can be caused by smoking,Number of admissions,,41899
2012/13,2012,I60-I69,Cerebrovascular Disease,Circulatory diseases which can be caused by smoking,Number of admissions,,106457
2012/13,2012,I71,Aortic Aneurysm,Circulatory diseases which can be caused by smoking,Number of admissions,,12017
2012/13,2012,I70,Atherosclerosis,Circulatory diseases which can be caused by smoking,Number of admissions,,10271
2012/13,2012,K25-K27,Stomach / Duodenal Ulcer,Digestive diseases which can be caused caused by smoking,Number of admissions,,22193
2012/13,2012,K50,Crohns Disease,Digestive diseases which can be caused caused by smoking,Number of admissions,,32563
2012/13,2012,K05,Periodontal Disease / Periodonitis,Digestive diseases which can be caused caused by smoking,Number of admissions,,5965
2012/13,2012,H25,Age Related Cataract 45+,Other diseases which can be caused by smoking,Number of admissions,,132002
2012/13,2012,S72.0-S72.2,Hip Fracture 55+,Other diseases which can be caused by smoking,Number of admissions,,65590
2012/13,2012,O03,Spontaneous Abortion,Other diseases which can be caused by smoking,Number of admissions,,11578
2012/13,2012,All codes,All admissions,All admissions,Number of admissions,Male,4829192
2012/13,2012,C33-C34 & C00-C14 & C15 & C32 & C53 & C67 & C64-C66 & C68 & C16 & C25 & C80 & C92 & J40-J43 & J44 & J10-J18 & I00-I09 & I26-I51 & I20-I25 & I72-I78 & I60-I69 & I71 & I70 & K25-K27 & K50 & K05 & H25 & S72.0-S72.2 & O03,All diseases which can be caused by smoking,All diseases which can be caused by smoking,Number of admissions,Male,877193
2012/13,2012,C00-D48,All cancers,All cancers,Number of admissions,Male,768453
2012/13,2012,J00-J99,All respiratory diseases,All respiratory diseases,Number of admissions,Male,267664
2012/13,2012,I00-I99,All circulatory diseases,All circulatory diseases,Number of admissions,Male,510102
2012/13,2012,K00-K93,All diseases of the digestive system,All diseases of the digestive system,Number of admissions,Male,669547
2012/13,2012,C33-C34,"Trachea, Lung, Bronchus",Cancers which can be caused by smoking,Number of admissions,Male,46455
2012/13,2012,C00-C14,Upper Respiratory Sites,Cancers which can be caused by smoking,Number of admissions,Male,14759
2012/13,2012,C15,Oesophagus,Cancers which can be caused by smoking,Number of admissions,Male,20724
2012/13,2012,C32,Larynx,Cancers which can be caused by smoking,Number of admissions,Male,3924
2012/13,2012,C53,Cervical,Cancers which can be caused by smoking,Number of admissions,Male,.
2012/13,2012,C67,Bladder,Cancers which can be caused by smoking,Number of admissions,Male,56679
2012/13,2012,C64-C66 & C68,Kidney and Renal Pelvis,Cancers which can be caused by smoking,Number of admissions,Male,9227
2012/13,2012,C16,Stomach,Cancers which can be caused by smoking,Number of admissions,Male,13762
2012/13,2012,C25,Pancreas,Cancers which can be caused by smoking,Number of admissions,Male,12024
2012/13,2012,C80,Unspecified Site,Cancers which can be caused by smoking,Number of admissions,Male,3370
2012/13,2012,C92,Myeloid Leukaemia,Cancers which can be caused by smoking,Number of admissions,Male,23782
2012/13,2012,J40-J43,Chronic Obstructive Lung Disease,Respiratory diseases which can be caused by smoking,Number of admissions,Male,2985
2012/13,2012,J44,Chronic Airway Obstruction,Respiratory diseases which can be caused by smoking,Number of admissions,Male,56086
2012/13,2012,J10-J18,"Pneumonia, Influenza",Respiratory diseases which can be caused by smoking,Number of admissions,Male,85733
2012/13,2012,I00-I09 & I26-I51,Other Heart Disease,Circulatory diseases which can be caused by smoking,Number of admissions,Male,149201
2012/13,2012,I20-I25,Ischaemic Heart Disease,Circulatory diseases which can be caused by smoking,Number of admissions,Male,183424
2012/13,2012,I72-I78,Other arterial disease,Circulatory diseases which can be caused by smoking,Number of admissions,Male,24778
2012/13,2012,I60-I69,Cerebrovascular Disease,Circulatory diseases which can be caused by smoking,Number of admissions,Male,53272
2012/13,2012,I71,Aortic Aneurysm,Circulatory diseases which can be caused by smoking,Number of admissions,Male,9272
2012/13,2012,I70,Atherosclerosis,Circulatory diseases which can be caused by smoking,Number of admissions,Male,6636
2012/13,2012,K25-K27,Stomach / Duodenal Ulcer,Digestive diseases which can be caused caused by smoking,Number of admissions,Male,11323
2012/13,2012,K50,Crohns Disease,Digestive diseases which can be caused caused by smoking,Number of admissions,Male,14347
2012/13,2012,K05,Periodontal Disease / Periodonitis,Digestive diseases which can be caused caused by smoking,Number of admissions,Male,2318
